lic_ticker,lic_name,year,number_shares,lic_id
AFI,Australian Foundation Investment Company Limited,2014,1044013116,
AFI,Australian Foundation Investment Company Limited,2015,1078053226,
AFI,Australian Foundation Investment Company Limited,2016,1114522875,
AFI,Australian Foundation Investment Company Limited,2017,1149255591,
AFI,Australian Foundation Investment Company Limited,2018,1182444510,
AFI,Australian Foundation Investment Company Limited,2019,1193810502,
AFI,Australian Foundation Investment Company Limited,2020,1206707394,
AFI,Australian Foundation Investment Company Limited,2021,1217056577,
AFI,Australian Foundation Investment Company Limited,2022,1226476015,
AFI,Australian Foundation Investment Company Limited,2023,1236299822,
ARG,Argo Investments Limited,2014,649399000,
ARG,Argo Investments Limited,2015,664839000,
ARG,Argo Investments Limited,2016,675375000,
ARG,Argo Investments Limited,2017,688734000,
ARG,Argo Investments Limited,2018,698658000,
ARG,Argo Investments Limited,2019,712377000,
ARG,Argo Investments Limited,2020,717978000,
ARG,Argo Investments Limited,2021,722897000,
ARG,Argo Investments Limited,2022,732559000,
ARG,Argo Investments Limited,2023,753110000,
WAM,WAM Capital Limited,2014,330157222,
WAM,WAM Capital Limited,2015,376328667,
WAM,WAM Capital Limited,2016,462955615,
WAM,WAM Capital Limited,2017,584844431,
WAM,WAM Capital Limited,2018,649848477,
WAM,WAM Capital Limited,2019,699115322,
WAM,WAM Capital Limited,2020,721317115,
WAM,WAM Capital Limited,2021,789120720,
WAM,WAM Capital Limited,2022,936724505,
WAM,WAM Capital Limited,2023,1093118512,
WLE,WAM Leaders Limited,2017,307416795,
WLE,WAM Leaders Limited,2018,596821963,
WLE,WAM Leaders Limited,2019,782048391,
WLE,WAM Leaders Limited,2020,785101510,
WLE,WAM Leaders Limited,2021,823925953,
WLE,WAM Leaders Limited,2022,1008478036,
WLE,WAM Leaders Limited,2023,1110620188,
LSF,L1 Long Short Fund Limited,2019,664839144,
LSF,L1 Long Short Fund Limited,2020,662745849,
LSF,L1 Long Short Fund Limited,2021,621573496,
LSF,L1 Long Short Fund Limited,2022,609229901,
LSF,L1 Long Short Fund Limited,2023,613819988,
MFF,MFF Capital Investments Limited,2014,350565102,
MFF,MFF Capital Investments Limited,2015,383408526,
MFF,MFF Capital Investments Limited,2016,463398209,
MFF,MFF Capital Investments Limited,2017,472968252,
MFF,MFF Capital Investments Limited,2018,525679557,
MFF,MFF Capital Investments Limited,2019,541422723,
MFF,MFF Capital Investments Limited,2020,544753649,
MFF,MFF Capital Investments Limited,2021,558860197,
MFF,MFF Capital Investments Limited,2022,577511045,
MFF,MFF Capital Investments Limited,2023,584672007,
BKI,BKI Investment Company Limited,2014,502728000,
BKI,BKI Investment Company Limited,2015,552158000,
BKI,BKI Investment Company Limited,2016,574631000,
BKI,BKI Investment Company Limited,2017,602860000,
BKI,BKI Investment Company Limited,2018,622799000,
BKI,BKI Investment Company Limited,2019,728234000,
BKI,BKI Investment Company Limited,2020,733696000,
BKI,BKI Investment Company Limited,2021,737798000,
BKI,BKI Investment Company Limited,2022,741249270,
BKI,BKI Investment Company Limited,2023,749690945,
AUI,Australian United Investment Company Limited,2014,108261729,
AUI,Australian United Investment Company Limited,2015,109259811,
AUI,Australian United Investment Company Limited,2016,120054058,
AUI,Australian United Investment Company Limited,2017,123557412,
AUI,Australian United Investment Company Limited,2018,123869817,
AUI,Australian United Investment Company Limited,2019,124180194,
AUI,Australian United Investment Company Limited,2020,124488838,
AUI,Australian United Investment Company Limited,2021,124806169,
AUI,Australian United Investment Company Limited,2022,125126000,
